name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
E00027101,215,90,87.25,47.63,15.33,81.95,19.27,91.72,95.39,98.24,89.01,77.75,FALSE,FALSE,78.43,34.72,11.92,75.67,17.15,83.76,83.88,95.04,73.68,67.73,FALSE,FALSE,77.89,20.85,8.47,66.2,9.88,88.62,81.17,90.19,86.01,84.19,FALSE,FALSE,0,output_area
E00027102,454,129,76.12,7.73,28.09,24.29,3.26,81.28,85.07,93.62,79.51,70.69,FALSE,FALSE,71.29,5.57,22.44,13.27,2.97,77.63,72.72,88.98,67.28,61.48,FALSE,FALSE,74.32,1.86,15.43,6.73,1.85,86.69,71.5,86.79,82.5,82.9,FALSE,FALSE,0,output_area
E00027103,488,162,62.14,6.78,30.53,9.77,6.92,68.39,62.96,75.03,70.28,63.64,FALSE,FALSE,62.85,4.92,24.39,5.19,6.48,70.35,54.57,74.17,63.22,55.09,FALSE,FALSE,70.07,1.62,16.68,2.15,3.76,84.36,58.31,79.85,80.49,81.32,FALSE,FALSE,0,output_area
E00027105,361,89,78.15,18.45,37.18,10.99,25.64,83.04,80.19,85.48,67.71,80.6,FALSE,FALSE,72.52,12.06,29.82,5.78,22.45,78.62,69.04,81.75,62.1,70.58,FALSE,FALSE,74.97,4.76,20.43,2.43,13.38,87.04,68.8,83.54,79.96,84.84,FALSE,FALSE,0,output_area
E00027106,611,148,73,11.94,40.16,16.42,6.51,78.15,80.87,88.87,79.92,68.66,FALSE,FALSE,69.36,8.41,31.74,8.6,6.2,75.92,69.27,84.3,67.54,59.58,FALSE,FALSE,73.35,3.03,21.97,3.84,3.64,86.16,68.96,84.71,82.69,82.47,FALSE,FALSE,0,output_area
E00027107,477,130,80.05,33.65,64.99,8.55,33.38,84.8,82.23,91.04,77.48,81,FALSE,FALSE,74.08,23.44,50.91,4.43,28.93,80.04,70.35,86.15,66.31,70.71,FALSE,FALSE,75.87,11.63,38.14,1.79,18.3,87.53,69.65,85.5,82.02,84.86,FALSE,FALSE,0,output_area
E00027108,470,114,83.99,16.55,29.99,28.49,14.79,88.6,84.94,87.92,66.76,90.64,FALSE,FALSE,76.19,10.7,24.29,16.81,13.76,81.8,72.7,83.98,61.37,77.54,FALSE,FALSE,76.77,4.1,16.64,9.36,7.82,88.01,71.49,84.56,79.57,86.19,FALSE,FALSE,0,output_area
E00027109,219,109,75.58,23.74,38.94,42.88,1.63,80.73,90.5,84.26,86.97,69.06,FALSE,FALSE,71.1,16.06,30.86,31.42,1.06,77.46,78.51,80.4,71.82,60.1,FALSE,FALSE,74.22,6.83,21.23,21.44,0.7,86.64,76.07,82.93,84.97,82.59,FALSE,FALSE,0,output_area
E00027110,471,118,79.24,2.17,23.47,1.9,2.44,83.99,72.73,80.19,59.57,89.96,FALSE,FALSE,73.18,1.62,18.86,0.72,1.73,79.18,62.59,77.56,57.96,77,FALSE,FALSE,75.31,0.49,13.02,0.32,1.1,87.22,63.93,81.56,77.58,86.09,FALSE,FALSE,0,output_area
E00027111,489,113,70.56,30.26,67.3,19.4,14.65,75.98,70.96,64.99,72.86,78.83,FALSE,FALSE,68.27,20.92,53.11,10.52,13.53,75.01,61.1,60.54,64.16,69.25,FALSE,FALSE,72.84,9.92,40.27,5.03,7.69,85.89,62.87,72.4,80.91,84.52,FALSE,FALSE,0,output_area
