name,population,households,lad_trse_rank,lad_vul_rank,lad_disability_and_caring_rank,lad_childcare_young_people_rank,lad_low_income_poverty_rank,lad_acc_rank,lad_work_access_rank,lad_education_access_rank,lad_health_access_rank,lad_amenities_access_rank,lad_trse_10pct,lad_trse_30pct,ca_trse_rank,ca_vul_rank,ca_disability_and_caring_rank,ca_childcare_young_people_rank,ca_low_income_poverty_rank,ca_acc_rank,ca_work_access_rank,ca_education_access_rank,ca_health_access_rank,ca_amenities_access_rank,ca_trse_10pct,ca_trse_30pct,eng_trse_rank,eng_vul_rank,eng_disability_and_caring_rank,eng_childcare_young_people_rank,eng_low_income_poverty_rank,eng_acc_rank,eng_work_access_rank,eng_education_access_rank,eng_health_access_rank,eng_amenities_access_rank,eng_trse_10pct,eng_trse_30pct,high_risk_pop,feature_type
Pennington Lane,,,100,100,100,100,100,1,1,1,1,1,FALSE,FALSE,100,100,97,98,100,0,0,0,0,1,FALSE,FALSE,97,99,95,97,99,11,9,11,13,27,FALSE,FALSE,,pt_point
Caldecott Road,,,13,42,19,54,59,14,21,36,14,14,FALSE,TRUE,31,23,17,28,26,43,31,65,18,58,FALSE,FALSE,56,8,14,14,12,78,50,82,56,89,FALSE,FALSE,,pt_point
Duke of York,,,87,32,46,32,22,92,62,94,99,86,FALSE,FALSE,80,61,72,54,59,83,57,82,72,81,FALSE,FALSE,88,42,59,37,41,93,67,89,89,92,FALSE,FALSE,,pt_point
Saddlecote Close,,,72,27,46,15,33,76,81,84,47,82,FALSE,FALSE,88,12,45,6,11,90,87,95,51,94,FALSE,FALSE,90,4,31,2,4,94,87,94,79,94,FALSE,FALSE,,pt_point
Norbreck Crescent,,,91,51,57,53,50,94,73,92,86,90,FALSE,FALSE,71,55,42,68,63,75,67,83,83,48,FALSE,FALSE,85,36,29,50,47,91,73,90,93,86,FALSE,FALSE,,pt_point
Highfield Road,,,92,98,96,85,99,6,29,7,10,6,FALSE,FALSE,83,98,95,89,100,10,21,7,7,13,FALSE,FALSE,89,95,92,77,97,47,42,44,46,47,FALSE,FALSE,,pt_point
Cheadle Square,,,88,21,23,55,2,85,96,72,91,86,FALSE,FALSE,90,17,21,50,1,90,96,62,98,82,FALSE,FALSE,91,6,16,33,0,94,95,80,99,92,FALSE,FALSE,,pt_point
Springfield Street,,,88,28,38,22,25,83,79,86,80,91,FALSE,FALSE,90,20,33,18,24,89,67,77,95,85,FALSE,FALSE,91,7,23,7,11,94,73,88,97,93,FALSE,FALSE,,pt_point
Pevensey Road,,,62,43,35,47,46,62,70,57,78,50,FALSE,FALSE,86,42,48,54,31,85,79,78,71,88,FALSE,FALSE,89,22,34,37,15,93,81,88,89,93,FALSE,FALSE,,pt_point
Mount St Joseph School,,,83,20,36,7,30,84,59,87,77,90,FALSE,FALSE,88,17,31,8,28,90,42,79,94,84,FALSE,FALSE,90,6,22,2,13,94,58,88,97,93,FALSE,FALSE,,pt_point
Halifax Road,,,49,85,81,94,71,14,56,63,8,20,FALSE,FALSE,8,68,59,83,63,5,58,57,2,3,TRUE,TRUE,19,50,45,67,47,40,68,77,34,32,FALSE,TRUE,,pt_point
Bloomfield Drive,,,39,75,58,74,78,48,26,38,77,64,FALSE,FALSE,46,77,69,77,82,51,18,26,94,52,FALSE,FALSE,71,64,56,61,72,83,40,56,97,87,FALSE,FALSE,,pt_point
Old Floating Light,,,100,100,99,100,100,0,1,1,1,3,FALSE,FALSE,98,100,92,99,100,0,0,1,0,1,FALSE,FALSE,96,98,88,98,98,12,9,15,16,29,FALSE,FALSE,,pt_point
Eccles Rail Station,,,81,64,57,88,48,87,92,93,66,84,FALSE,FALSE,95,60,60,92,32,96,93,97,60,96,FALSE,FALSE,93,41,46,81,16,95,93,95,84,94,FALSE,FALSE,,pt_point
Mersey Road,,,62,63,70,62,49,73,99,39,73,65,FALSE,FALSE,69,86,94,72,78,69,99,35,62,82,FALSE,FALSE,84,80,92,55,65,89,99,62,85,92,FALSE,FALSE,,pt_point
Brown Lodge Street,,,68,92,91,91,94,24,29,36,14,55,FALSE,FALSE,14,77,69,75,87,7,35,42,4,9,FALSE,TRUE,32,64,56,59,79,43,53,66,41,39,FALSE,FALSE,,pt_point
Warwick Road,,,44,21,22,25,22,59,57,50,61,63,FALSE,FALSE,26,33,12,43,42,39,47,22,58,33,FALSE,TRUE,50,16,11,27,24,75,62,54,83,78,FALSE,FALSE,,pt_point
Ashton-under-Lyne Interchange,,,98,6,10,19,3,98,99,92,90,98,FALSE,FALSE,90,14,13,27,11,92,95,84,76,88,FALSE,FALSE,91,4,12,13,4,95,94,90,91,93,FALSE,FALSE,,pt_point
Lincoln Road,,,66,74,68,74,76,71,35,14,77,72,FALSE,FALSE,12,55,46,55,67,21,39,29,54,14,FALSE,TRUE,29,36,32,37,51,61,56,58,81,50,FALSE,TRUE,,pt_point
Low Hill,,,1,19,12,27,15,19,42,78,14,18,TRUE,TRUE,0,12,9,19,14,5,46,73,3,3,TRUE,TRUE,2,4,10,7,5,42,60,86,40,32,TRUE,TRUE,,pt_point
Ashton-under-Lyne Rail Station,,,96,10,18,25,5,98,95,93,89,98,FALSE,FALSE,89,19,20,30,18,91,91,86,75,88,FALSE,FALSE,90,7,15,15,7,94,91,91,90,93,FALSE,FALSE,,pt_point
Fairmile Drive,,,16,82,82,72,98,3,43,0,16,1,FALSE,TRUE,34,86,93,74,78,27,51,21,20,35,FALSE,FALSE,61,78,89,57,65,67,63,53,58,79,FALSE,FALSE,,pt_point
